,date,benchmark_excess_ret
0,192601,0.0
1,192602,0.0
2,192603,0.0
3,192604,0.0
4,192605,0.0
5,192606,0.0
6,192607,-0.18406298680081232
7,192608,-0.2181138160552762
8,192609,-0.22095314878054578
9,192610,-0.34626710417576495
10,192611,-0.2788661085642928
11,192612,-0.24686373480534385
12,192701,-0.24506446163306006
13,192702,-0.21137642137386292
14,192703,-0.29116397216831447
15,192704,-0.2392727032300219
16,192705,-0.23815297979322403
17,192706,-0.278254927800266
18,192707,-0.22093613011778046
19,192708,-0.25314055655739215
20,192709,-0.1560695692216417
21,192710,-0.28707391239972974
22,192711,-0.13796860461387014
23,192712,-0.19082747022282018
24,192801,-0.2497135478667898
25,192802,-0.34204753811804106
26,192803,-0.18821314040522177
27,192804,-0.16898813193473705
28,192805,-0.29744789260441634
29,192806,-0.3526940762900674
30,192807,-0.3088169150853801
31,192808,-0.24533521833408367
32,192809,-0.23418847949945848
33,192810,-0.38478035741325406
34,192811,-0.2466429991993671
35,192812,-0.0480960638306575
36,192901,-0.2758289956611103
37,192902,-0.35562347946638023
38,192903,-0.33970727302678033
39,192904,-0.3388722115960984
40,192905,-0.4891890410857645
41,192906,-0.41119714679185304
42,192907,-0.2772533654020671
43,192908,-0.306264496827661
44,192909,-0.3910052493875978
45,192910,-0.6367393741356109
46,192911,-0.4846522335034601
47,192912,-0.34046419199854533
48,193001,-0.077491243945955
49,193002,-0.26680772182630513
50,193003,-0.2679918030858472
51,193004,-0.21985315126916252
52,193005,-0.2707297956604448
53,193006,-0.4217081765835723
54,193007,-0.15500706709820716
55,193008,-0.08244628425864166
56,193009,-0.337856714639468
57,193010,-0.17042123135982054
58,193011,-0.15366088959811983
59,193012,-0.21006205624532756
60,193101,-0.08197788420162905
61,193102,0.0770282352843494
62,193103,-0.18475004375495432
63,193104,-0.1712577083234649
64,193105,-0.21649510274202344
65,193106,0.06872465236196139
66,193107,-0.12108923566448901
67,193108,-0.02152018168039073
68,193109,-0.3088074490568364
69,193110,-0.007879505425828154
70,193111,-0.25036349237174516
71,193112,-0.2405796224857273
72,193201,-0.22763059306228062
73,193202,-0.16046095772777721
74,193203,-0.2570653709558677
75,193204,-0.2736529937354735
76,193205,-0.240208949598748
77,193206,-0.006226175332721791
78,193207,0.3566066953093939
79,193208,0.3858186802155453
80,193209,-0.047607299549917825
81,193210,-0.14014854443449312
82,193211,-0.06590342678340029
83,193212,0.04471390929902105
84,193301,0.010873752125173025
85,193302,-0.11261912827321395
86,193303,0.007837225305322323
87,193304,0.3408672090838138
88,193305,0.1981989849250148
89,193306,0.12644138293519436
90,193307,-0.1072654008000912
91,193308,0.10281385465418545
92,193309,-0.11340732284733403
93,193310,-0.08614719526523147
94,193311,0.0907865093190114
